algorithm,performance_ratio_threshold,fraction_of_problems,target_residual
BIPOP-CMA-ES,651.4400969591285,0.38,0.001
BIPOP-CMA-ES,672.4623729907742,0.38,0.001
BIPOP-CMA-ES,694.1630476834996,0.38,0.001
BIPOP-CMA-ES,716.5640132787845,0.38,0.001
BIPOP-CMA-ES,739.687868490963,0.38,0.001
BIPOP-CMA-ES,763.5579413054273,0.38,0.001
BIPOP-CMA-ES,788.1983125125514,0.38,0.001
BIPOP-CMA-ES,813.6338400010532,0.38,0.001
BIPOP-CMA-ES,839.8901838353238,0.38,0.001
BIPOP-CMA-ES,866.993832142013,0.38,0.001
BIPOP-CMA-ES,894.9721278319807,0.38,0.001
BIPOP-CMA-ES,923.8532961845837,0.38,0.001
BIPOP-CMA-ES,953.6664733221226,0.38,0.001
BIPOP-CMA-ES,984.4417356031622,0.38,0.001
BIPOP-CMA-ES,1016.2101299644022,0.38,0.001
BIPOP-CMA-ES,1049.0037052416799,0.38,0.001
BIPOP-CMA-ES,1082.8555445017255,0.38,0.001
BIPOP-CMA-ES,1117.79979841728,0.38,0.001
BIPOP-CMA-ES,1153.8717197192325,0.38,0.001
BIPOP-CMA-ES,1191.107698760554,0.38,0.001
BIPOP-CMA-ES,1229.5453002278975,0.38,0.001
BIPOP-CMA-ES,1269.2233010378866,0.38,0.001
BIPOP-CMA-ES,1310.181729456345,0.38,0.001
BIPOP-CMA-ES,1352.4619054799252,0.38,0.001
BIPOP-CMA-ES,1396.1064825208553,0.38,0.001
BIPOP-CMA-ES,1441.159490436892,0.38,0.001
BIPOP-CMA-ES,1487.666379949852,0.38,0.001
BIPOP-CMA-ES,1535.674068497562,0.38,0.001
BIPOP-CMA-ES,1585.2309875654737,0.38,0.001
BIPOP-CMA-ES,1636.3871315456786,0.38,0.001
BIPOP-CMA-ES,1689.1941081726382,0.38,0.001
BIPOP-CMA-ES,1743.7051905865023,0.38,0.001
BIPOP-CMA-ES,1799.975371076515,0.38,0.001
BIPOP-CMA-ES,1858.0614165587729,0.38,0.001
BIPOP-CMA-ES,1918.0219258442487,0.38,0.001
BIPOP-CMA-ES,1979.9173887549005,0.38,0.001
BIPOP-CMA-ES,2043.8102471474845,0.38,0.001
BIPOP-CMA-ES,2109.7649579066165,0.38,0.001
BIPOP-CMA-ES,2177.8480579706697,0.38,0.001
BIPOP-CMA-ES,2248.1282314560844,0.38,0.001
BIPOP-CMA-ES,2320.6763789477927,0.38,0.001
BIPOP-CMA-ES,2395.5656890257096,0.38,0.001
BIPOP-CMA-ES,2472.8717120993824,0.38,0.001
BIPOP-CMA-ES,2552.672436625342,0.38,0.001
BIPOP-CMA-ES,2635.0483677840257,0.38,0.001
BIPOP-CMA-ES,2720.0826086956167,0.38,0.001
CMA-ES,1.0,0.04,0.001
CMA-ES,1.032270466816175,0.08,0.001
CMA-ES,1.065582316660884,0.08,0.001
CMA-ES,1.099969155450592,0.08,0.001
CMA-ES,1.1354656735803765,0.08,0.001
CMA-ES,1.172107680920558,0.08,0.001
CMA-ES,1.2099321429426886,0.08,0.001
CMA-ES,1.2489772180113443,0.08,0.001
CMA-ES,1.289282295879338,0.08,0.001
CMA-ES,1.3308880374251941,0.08,0.001
CMA-ES,1.3738364156729683,0.08,0.001
CMA-ES,1.4181707581357959,0.08,0.001
CMA-ES,1.4639357905258867,0.08,0.001
CMA-ES,1.5111776818750635,0.1,0.001
CMA-ES,1.5599440911113571,0.12,0.001
CMA-ES,1.6102842151386545,0.12,0.001
CMA-ES,1.662248838467897,0.12,0.001
CMA-ES,1.7158903844499007,0.12,0.001
CMA-ES,1.771262968161485,0.12,0.001
CMA-ES,1.8284224509982603,0.12,0.001
CMA-ES,1.887426497029149,0.12,0.001
CMA-ES,1.9483346311694978,0.12,0.001
CMA-ES,2.0112082992314577,0.12,0.001
CMA-ES,2.0761109299122222,0.12,0.001
CMA-ES,2.143107998782653,0.12,0.001
CMA-ES,2.2122670943408482,0.12,0.001
CMA-ES,2.2836579861972903,0.12,0.001
CMA-ES,2.357352695460363,0.14,0.001
CMA-ES,2.433425567393238,0.14,0.001
